"Timestamp","I have obtained sufficient information about the study and the processing of my personal data. I have understood the information I have obtained and want to participate in the study.","Job title","Are you a member of any of these professional bodies?","Which industry does your organisation primarily work in?","What kind of Product do you work on? (Select all that apply)","Number of employees in your organisation","Typical time to market","Release heart beat","Product Team Size","Your primary location","Our product roadmap helps us deliver our strategy","Strategic Management","Product Strategy","Product Planning","Development","Marketing","Sales & Distribution","Service & Support","I have appropriate responsibility to achieve my goals","Roadmap detailing - How adequate is your roadmap detailed with respect to the timeline?","Roadmap items - Which items are on your product roadmap?","Reliability - How often do you adjust your product roadmap?","Confidence - How confident are you that the roadmap items have the expected impact on goals?","Discovery – How do  you conduct  product discovery?","Prioritization - How do you prioritise items?","Extent of alignment - How do you align your stakeholders?","Responsibility – Who is responsible for placing items on the roadmap?","Ownership of the product roadmap - Who owns the product roadmap and is accountable?","Tools - Which tool(s) do you use to manage your roadmap process?","Where do you look for information about Software Product Management? (tick all that apply)","Is there anything else you'd like to say about product management, strategy, and innovation in your working life? (the answers to this question will not be in the publicly available data set, and only published in aggregate analysis or quoted in an anonymised form)",""
"2021/01/12 4:55:13 pm GMT","Agree","Senior Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS;B2C SaaS;Desktop app;Packaged service, e.g. Software product + Professional Services","250-4499","4.5 months to < 9 months","3-4 releases a year","10-19","United Kingdom","4","Portfolio Management;Innovation Management;Resource Management","Positioning and product definition;Ecosystem management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project Management;User experience design;Quality Management","Opportunity Management","Sales planning","Technical support","4","All tasks are planned and worked out in detail for short-,mid- and long term.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Mainly in regular review cycles (e.g., every 3 months)","The impacts are mainly determined based on data from the past (e.g., statistics).","Product roadmap items are mainly defined based on expert knowledge.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","","Tool vendor's material (e.g. blog, webinar, ebook)","",""
"2021/01/12 5:23:39 pm GMT","Agree","Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS;Desktop app;Mobile app;Packaged service, e.g. Software product + Professional Services","< 10","4.5 months to < 9 months","5-12 releases a year","< 4","Brazil","5","Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Sourcing;Business case and costing;Pricing;Ecosystem management;Legal & PR management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Product launches (GTM);Operational marketing","Sales planning;Channel preparation;Customer relationship management","","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Adjustments are mainly done proactively.","The impacts are mainly determined based on data from the past (e.g., statistics).","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)","",""
"2021/01/14 9:18:38 pm GMT","Agree","FP&A","I am not a member of any professional body","Private / Consumer","Desktop app",">= 4500","Don't know and cannot estimate","No release so far","< 4","Mexico","4","Market Analysis","Performance & Risk management","None","None","Marketing mix optimisation","Sales planning","Forecast","5","All tasks are planned and worked out in detail for short-,mid- and long term.","Mainly business goals, products,  features","Adjustments are mainly done reactively on demand.","The impacts are partly validated","No discovery activities. Typically, a manager is defining the roadmap items.","Prioritization is based on short term benefit (e.g., shareholder value).","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Management","Strategy or portfolio planning","MICROSOFT: Project Server","Tool vendor's material (e.g. blog, webinar, ebook)","",""
"2021/01/14 9:47:49 pm GMT","Agree","Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS","50-249","Less than 4.5 months","More than 12 releases a year","10-19","United Kingdom","3","Innovation Management","Business case and costing","Roadmapping","Project Management","Opportunity Management;Product launches (GTM)","","","4","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Mainly in regular review cycles (e.g., every 3 months)","The impacts are partly validated","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is based on short term benefit (e.g., shareholder value).","One central product roadmap exists for different internal and external stakeholders.","Product Management","Strategy or portfolio planning","","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft)","",""
"2021/01/15 1:07:33 am GMT","Agree","Product Manager","I am not a member of any professional body","Travel/Hospitality","Packaged service, e.g. Software product + Professional Services","50-249","4.5 months to < 9 months","5-12 releases a year","4-9","United States","4","Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Sourcing;Business case and costing;Pricing","Release planning","Project Management;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management;Product launches (GTM)","Sales planning;Customer relationship management","Service planning and preparation;Service provisioning","3","There is some correlation between time and level of detail but the detailing of the items is not done systematically.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Frequent ad-hoc adjustments.","The impacts are mainly estimated by experts","Product roadmap items are mainly defined based on expert knowledge.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Specific roles (e.g., portfolio manager)","Ownership is shared between multiple roles","MICROSOFT: Excel","Professional training org? (e.g. 280Group or Product Focus)","","Product Management"
"2021/01/15 1:46:12 am GMT","Agree","Senior Product Marketing Manager","I am not a member of any professional body","Banking / Finance","B2C SaaS","< 10","Don't know and cannot estimate","No release so far","10-19","United States","5","Corporate Strategy;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Legal & PR management","Roadmapping;Release planning","Project Management","Marketing planning;Customer analysis;Product launches (GTM)","Channel preparation","Marketing support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Frequent ad-hoc adjustments.","The impacts are systematically validated.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is based on the capability to deliver (e.g., low hanging fruits)","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","MICROSOFT: Excel;MICROSOFT: PowerPoint","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)","","Product  Management with cross-functional product teams in  liaison with key stakeholders."
"2021/01/15 5:35:00 am GMT","Agree","Head of Product/VP/Director/CPO","I am not a member of any professional body","Software / IT","B2B SaaS;B2C SaaS;Desktop app;Mobile app;Packaged service, e.g. Software product + Professional Services","250-4499","9 Months to < 18 months","3-4 releases a year","> 250","Pakistan","3","Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Ecosystem management","Product life-cycle management;Roadmapping;Product requirements engineering","Project requirements engineering;User experience design;Quality Management","Customer analysis;Opportunity Management;Product launches (GTM)","Sales planning;Channel preparation","Service planning and preparation;Service provisioning;Sales support","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)              20 points Mainly product vision, customer and business goals, products, fea-tures and for the long-term timeframe themes (i.e., high-level cus-tomer needs)","Adjustments are mainly done proactively.","The impacts are mainly estimated by experts","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","MICROSOFT: Excel;MICROSOFT: PowerPoint;MICROSOFT: Project Server","Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)","","Product  Management with cross-functional product teams in  liaison with key stakeholders."
"2021/01/15 5:44:10 pm GMT","Agree","Senior Product Manager","I am not a member of any professional body","Software / IT","B2B SaaS","50-249","Don't know and cannot estimate","5-12 releases a year","< 4","United Kingdom","3","","Positioning and product definition;Business case and costing","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","","","","","2","There is a clear correlation between time and level of detail. The timelier items are more detailed.","Mainly products, features","Frequent ad-hoc adjustments.","The impacts are mainly estimated by experts","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal stakeholders exist.","Product Management","Managers","MICROSOFT: Excel;PRODPAD: ProdPad","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Events, conferences","","Product Management"
"2021/01/15 6:48:58 pm GMT","Agree","Senior Product Manager","I am not a member of any professional body","Telecommunications","Fixed telephony and internet services",">= 4500","9 Months to < 18 months","About 2 releases per year","4-9","Greece","3","Portfolio Management;Market Analysis;Product Analysis","Positioning and product definition;Business case and costing;Pricing;Legal & PR management;Performance & Risk management","Product life-cycle management;Roadmapping;Product requirements engineering","Project Management","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Product launches (GTM)","","","5","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Adjustments are mainly done reactively on demand.","The impacts are systematically validated.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal and external stakeholders exist.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","","Books (e.g. Roadmaps Relaunched, Escape the build trap)","",""
"2021/01/15 7:26:20 pm GMT","Agree","Lead Product Manager","I am not a member of any professional body","Banking / Finance","B2B SaaS;B2C SaaS;Packaged service, e.g. Software product + Professional Services",">= 4500","9 Months to < 18 months","5-12 releases a year","10-19","United Kingdom","5","Corporate Strategy;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Business case and costing;Pricing;Ecosystem management;Legal & PR management","Roadmapping","User experience design;Quality Management","Customer analysis","","","4","Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)              20 points Mainly product vision, customer and business goals, products, fea-tures and for the long-term timeframe themes (i.e., high-level cus-tomer needs)","Adjustments are mainly done reactively on demand.","The impacts are mainly determined based on data from the past (e.g., statistics).","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal stakeholders exist.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)","",""
