"","Job.title","org.industry","org.employees","org.TTM","org.releases","org.prodteamsize","org.location","roadmap.happiness","Strategic.Management","Product.Strategy","Product.Planning","Development","Marketing","Sales...Distribution","Service...Support","role.happiness","roadmap.detailing","roadmap.items","roadmap.reliability","roadmap.confidence","roadmap.discovery","roadmap.prioritization","roadmap.alignment","roadmap.responsibility","roadmap.ownership","roadmap.tools","info.sources","product.b2b","product.b2c","product.mobile","product.Desktop","product.Service","profbody.none","profbody.acm","profbody.ami","profbody.apm","profbody.aipmm","profbody.bcs","profbody.iaoip","profbody.ispma","profbody.pdma"
"1","Senior Product Manager","Software / IT","250-4499","4.5 months to < 9 months","3-4 releases a year","10-19","United Kingdom",4,"Portfolio Management;Innovation Management;Resource Management","Positioning and product definition;Ecosystem management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","Project Management;User experience design;Quality Management","Opportunity Management","Sales planning","Technical support",4,"All tasks are planned and worked out in detail for short-,mid- and long term.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Mainly in regular review cycles (e.g., every 3 months)","The impacts are mainly determined based on data from the past (e.g., statistics).","Product roadmap items are mainly defined based on expert knowledge.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","","Tool vendor's material (e.g. blog, webinar, ebook)",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Product Manager","Software / IT","< 10","4.5 months to < 9 months","5-12 releases a year","< 4","Brazil",5,"Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Sourcing;Business case and costing;Pricing;Ecosystem management;Legal & PR management;Performance & Risk management","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Product launches (GTM);Operational marketing","Sales planning;Channel preparation;Customer relationship management","",5,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly products, features","Adjustments are mainly done proactively.","The impacts are mainly determined based on data from the past (e.g., statistics).","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","FP&A","Private / Consumer",">= 4500","Don't know and cannot estimate","No release so far","< 4","Mexico",4,"Market Analysis","Performance & Risk management","None","None","Marketing mix optimisation","Sales planning","Forecast",5,"All tasks are planned and worked out in detail for short-,mid- and long term.","Mainly business goals, products,  features","Adjustments are mainly done reactively on demand.","The impacts are partly validated","No discovery activities. Typically, a manager is defining the roadmap items.","Prioritization is based on short term benefit (e.g., shareholder value).","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Management","Strategy or portfolio planning","MICROSOFT: Project Server","Tool vendor's material (e.g. blog, webinar, ebook)",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Product Manager","Software / IT","50-249","Less than 4.5 months","More than 12 releases a year","10-19","United Kingdom",3,"Innovation Management","Business case and costing","Roadmapping","Project Management","Opportunity Management;Product launches (GTM)","","",4,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Mainly in regular review cycles (e.g., every 3 months)","The impacts are partly validated","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is based on short term benefit (e.g., shareholder value).","One central product roadmap exists for different internal and external stakeholders.","Product Management","Strategy or portfolio planning","","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Product Manager","Travel/Hospitality","50-249","4.5 months to < 9 months","5-12 releases a year","4-9","United States",4,"Corporate Strategy;Portfolio Management;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Sourcing;Business case and costing;Pricing","Release planning","Project Management;User experience design;Quality Management","Marketing planning;Customer analysis;Opportunity Management;Product launches (GTM)","Sales planning;Customer relationship management","Service planning and preparation;Service provisioning",3,"There is some correlation between time and level of detail but the detailing of the items is not done systematically.","Mainly product vision, customer and business goals, products, features and for the long-term timeframe themes (i.e., high-level customer needs)","Frequent ad-hoc adjustments.","The impacts are mainly estimated by experts","Product roadmap items are mainly defined based on expert knowledge.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","No alignment. No one or only one stakeholder such as high level management has a product roadmap that is not communicated to others.","Specific roles (e.g., portfolio manager)","Ownership is shared between multiple roles","MICROSOFT: Excel","Professional training org? (e.g. 280Group or Product Focus)",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Senior Product Marketing Manager","Banking / Finance","< 10","Don't know and cannot estimate","No release so far","10-19","United States",5,"Corporate Strategy;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Legal & PR management","Roadmapping;Release planning","Project Management","Marketing planning;Customer analysis;Product launches (GTM)","Channel preparation","Marketing support",5,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Frequent ad-hoc adjustments.","The impacts are systematically validated.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is based on the capability to deliver (e.g., low hanging fruits)","One central product roadmap exists for different internal and external stakeholders.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","MICROSOFT: Excel;MICROSOFT: PowerPoint","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Head of Product/VP/Director/CPO","Software / IT","250-4499","9 Months to < 18 months","3-4 releases a year","> 250","Pakistan",3,"Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Delivery model & Service strategy;Business case and costing;Ecosystem management","Product life-cycle management;Roadmapping;Product requirements engineering","Project requirements engineering;User experience design;Quality Management","Customer analysis;Opportunity Management;Product launches (GTM)","Sales planning;Channel preparation","Service planning and preparation;Service provisioning;Sales support",5,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)","Adjustments are mainly done proactively.","The impacts are mainly estimated by experts","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","One central product roadmap exists that allows to derive different representations for different stakeholders. A process for achieving alignment and buy-in is in place.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","MICROSOFT: Excel;MICROSOFT: PowerPoint;MICROSOFT: Project Server","Books (e.g. Roadmaps Relaunched, Escape the build trap);Online communities (e.g. LinkedIn groups, Slack communtities)",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Senior Product Manager","Software / IT","50-249","Don't know and cannot estimate","5-12 releases a year","< 4","United Kingdom",3,"","Positioning and product definition;Business case and costing","Product life-cycle management;Roadmapping;Release planning;Product requirements engineering","","","","",2,"There is a clear correlation between time and level of detail. The timelier items are more detailed.","Mainly products, features","Frequent ad-hoc adjustments.","The impacts are mainly estimated by experts","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal stakeholders exist.","Product Management","Managers","MICROSOFT: Excel;PRODPAD: ProdPad","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Events, conferences",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Senior Product Manager","Telecommunications",">= 4500","9 Months to < 18 months","About 2 releases per year","4-9","Greece",3,"Portfolio Management;Market Analysis;Product Analysis","Positioning and product definition;Business case and costing;Pricing;Legal & PR management;Performance & Risk management","Product life-cycle management;Roadmapping;Product requirements engineering","Project Management","Marketing planning;Customer analysis;Opportunity Management;Marketing mix optimisation;Product launches (GTM)","","",5,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly business goals, products,  features","Adjustments are mainly done reactively on demand.","The impacts are systematically validated.","Several discovery activities are conducted (e.g., user research) but they are not or only loosely integrated with  delivery  activities.","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal and external stakeholders exist.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Ownership is shared between multiple roles","","Books (e.g. Roadmaps Relaunched, Escape the build trap)",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Lead Product Manager","Banking / Finance",">= 4500","9 Months to < 18 months","5-12 releases a year","10-19","United Kingdom",5,"Corporate Strategy;Innovation Management;Resource Management;Market Analysis;Product Analysis","Positioning and product definition;Business case and costing;Pricing;Ecosystem management;Legal & PR management","Roadmapping","User experience design;Quality Management","Customer analysis","","",4,"Short-term items are detailed, prioritized, estimated and validated. Mid-term items are under validation or being discovered. The long-term timeframe contains themes.","Mainly customer and business goals, products, features and for the long-term timeframe topics (e.g., smart home)              20 points Mainly product vision, customer and business goals, products, fea-tures and for the long-term timeframe themes (i.e., high-level cus-tomer needs)","Adjustments are mainly done reactively on demand.","The impacts are mainly determined based on data from the past (e.g., statistics).","Close integration of discovery and delivery activities","Prioritization is done with an established process and focuses on delivering value to customers and the business.","Several loosely connected product roadmaps for internal stakeholders exist.","Product  Management with cross-functional product teams in  liaison with key stakeholders.","Product management or product teams","ATLASSIAN: Jira/Confluence","Books (e.g. Roadmaps Relaunched, Escape the build trap);Blogs (e.g. Rich Mironov, Product Craft);Online communities (e.g. LinkedIn groups, Slack communtities);Tool vendor's material (e.g. blog, webinar, ebook)",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
